Country,CIT_rate_2019,CIT_rate_2020,inflation,tax_depreciation_building,tax_depreciation_equipment,inventory_accounting,inv_acc_flag,asset_tax,capital_input_sale_tax,capital_transfer_tax,financial_transfer_tax_flag,dividend_payout_ratio,dividend_distribution_tax,domestic_tax_rate_dividend,international_interest_rate,debt_asset_ratio,domestic_pit_interest,domestic_pit_capital_gain,economic_depreciation_equipment,economic_depreciation_building,investment_allowance_equipment,investment_allowance_building,property_tax,mining_royalty,capital_weight_equipment,capital_weight_building,capital_weight_land,capital_weight_inventory
New Zealand,0.28,0.30,0.01,0.07,0.24,Optional,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Norway,0.22,0.28,0.03,0.04,0.25,FIFO,1,0.00,0.00,0.03,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Poland,0.19,0.19,0.01,0.03,0.26,LIFO,0,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Portugal,0.32,0.29,0.01,0.02,0.20,Optional,0,0.00,0.00,0.01,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Slovak Republic,0.22,0.21,0.01,0.05,0.17,Optional,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Slovenia,0.19,0.20,0.01,0.04,0.22,Optional,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Spain,0.25,0.30,0.01,0.02,0.29,Optional,0,0.00,0.00,0.01,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Sweden,0.21,0.26,0.01,0.03,0.20,FIFO,1,0.00,0.00,0.04,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Switzerland,0.18,0.21,0.00,0.06,0.32,LIFO,0,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Turkey,0.20,0.20,0.10,0.13,0.49,Optional,0,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
United Kingdom,0.17,0.28,0.01,0.02,0.18,FIFO,1,0.00,0.00,0.05,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
United States,0.26,0.39,0.02,0.04,0.55,Optional,0,0.00,0.03,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Brazil,0.34,0.34,0.06,0.04,0.12,Optional,0,0.00,0.13,0.04,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
China,0.25,0.25,0.02,0.07,0.15,Optional,0,0.00,0.01,0.04,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
India,0.24,0.33,0.05,0.05,0.35,Optional,0,0.00,0.00,0.06,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Russia,0.20,0.20,0.08,0.03,0.21,Optional,0,0.01,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Argentina,0.25,0.35,0.32,0.04,0.12,LIFO,0,0.00,0.00,0.00,1,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
Bangladesh,0.25,0.28,0.06,0.12,0.37,Optional,0,0.00,0.00,0.00,0,0.5,0,0,0.01,0.4,0,0,0.205,0.09,0,0,0,0,0.524,0.285,0.009,0.181
